"TIME","GEO","UNIT","INDX","COICOP","Value","Flag and Footnotes"
"2013M02","France","Index, 2015=100","Harmonised index of consumer prices","Beer","99.89",""
"2013M02","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","93.34",""
"2013M02","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","97.9",""
"2013M02","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","99.24",""
"2013M02","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","99.32",""
"2013M02","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","102.06",""
"2013M02","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","94.70",""
"2013M02","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","103.93",""
"2013M02","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","95.35",""
"2013M02","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","99.26",""
"2013M02","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","93.36",""
"2013M02","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.7",""
"2013M02","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","90.84",""
"2013M02","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","95.82",""
"2013M02","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.51",""
"2013M02","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.09",""
"2013M02","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.33",""
"2013M02","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","94.67",""
"2013M02","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","108.7",""
"2013M02","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.28",""
"2013M02","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","96.2",""
"2013M02","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","104.30",""
"2013M02","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","77.35","d"
"2013M03","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.47",""
"2013M03","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","95.98",""
"2013M03","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.8",""
"2013M03","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","107.9",""
"2013M03","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","94.6",""
"2013M03","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","92.22",""
"2013M03","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.5",""
"2013M03","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","104.01",""
"2013M03","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","97.05",""
"2013M03","France","Index, 2015=100","Harmonised index of consumer prices","Beer","100.98",""
"2013M03","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","93.86",""
"2013M03","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","98.1",""
"2013M03","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","100.32",""
"2013M03","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","96.14",""
"2013M03","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","101.03",""
"2013M03","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","93.98",""
"2013M03","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","103.75",""
"2013M03","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","95.66",""
"2013M03","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","99.54",""
"2013M03","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","93.58",""
"2013M03","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.5",""
"2013M03","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","90.82",""
"2013M03","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","96.97",""
"2013M03","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.34",""
"2013M03","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.15",""
"2013M03","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.53",""
"2013M03","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","94.66",""
"2013M03","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","107.4",""
"2013M03","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.79",""
"2013M03","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","96.6",""
"2013M03","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","101.20",""
"2013M03","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","77.36","d"
"2013M04","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.07",""
"2013M04","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","95.64",""
"2013M04","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","100.1",""
"2013M04","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","109.5",""
"2013M04","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","95.1",""
"2013M04","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","92.56",""
"2013M04","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.6",""
"2013M04","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","105.03",""
"2013M04","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","96.79",""
"2013M04","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.12",""
"2013M04","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","94.20",""
"2013M04","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","97.9",""
"2013M04","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","99.10",""
"2013M04","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","99.53",""
"2013M04","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","100.37",""
"2013M04","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","95.47",""
"2013M04","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","104.01",""
"2013M04","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","95.70",""
"2013M04","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","99.67",""
"2013M04","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","95.04",""
"2013M04","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.0",""
"2013M04","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","90.75",""
"2013M04","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.00",""
"2013M04","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.97",""
"2013M04","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.39",""
"2013M04","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.33",""
"2013M04","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","93.99",""
"2013M04","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","104.6",""
"2013M04","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.87",""
"2013M04","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","96.4",""
"2013M04","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","102.90",""
"2013M04","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","77.31","d"
"2013M05","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","91.89",""
"2013M05","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","96.69",""
"2013M05","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","99.0",""
"2013M05","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","111.3",""
"2013M05","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","95.2",""
"2013M05","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","93.13",""
"2013M05","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","97.4",""
"2013M05","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","102.84",""
"2013M05","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","96.51",""
"2013M05","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.13",""
"2013M05","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","94.01",""
"2013M05","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","98.0",""
"2013M05","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","100.01",""
"2013M05","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.54",""
"2013M05","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","100.78",""
"2013M05","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","94.06",""
"2013M05","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","103.07",""
"2013M05","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","95.91",""
"2013M05","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","99.09",""
"2013M05","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","94.49",""
"2013M05","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.4",""
"2013M05","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","91.08",""
"2013M05","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.04",""
"2013M05","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.74",""
"2013M05","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","100.89",""
"2013M05","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.30",""
"2013M05","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","93.82",""
"2013M05","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","104.9",""
"2013M05","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.86",""
"2013M05","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","96.2",""
"2013M05","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.00",""
"2013M05","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","77.40","d"
"2013M06","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.04",""
"2013M06","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","96.51",""
"2013M06","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.1",""
"2013M06","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","111.1",""
"2013M06","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","94.7",""
"2013M06","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","90.46",""
"2013M06","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","97.6",""
"2013M06","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","100.06",""
"2013M06","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","96.69",""
"2013M06","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.26",""
"2013M06","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","94.12",""
"2013M06","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","97.5",""
"2013M06","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","104.22",""
"2013M06","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","96.11",""
"2013M06","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","100.74",""
"2013M06","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","95.78",""
"2013M06","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","103.17",""
"2013M06","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","97.09",""
"2013M06","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","96.45",""
"2013M06","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","94.95",""
"2013M06","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.9",""
"2013M06","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","91.18",""
"2013M06","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.17",""
"2013M06","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.83",""
"2013M06","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","100.25",""
"2013M06","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.67",""
"2013M06","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","93.77",""
"2013M06","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","104.8",""
"2013M06","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.53",""
"2013M06","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","96.4",""
"2013M06","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","103.60",""
"2013M06","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","77.33","d"
"2013M07","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.03",""
"2013M07","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","96.86",""
"2013M07","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.3",""
"2013M07","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","110.0",""
"2013M07","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","94.8",""
"2013M07","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","92.19",""
"2013M07","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.2",""
"2013M07","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","99.44",""
"2013M07","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","95.96",""
"2013M07","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.28",""
"2013M07","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","94.50",""
"2013M07","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","97.9",""
"2013M07","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","102.78",""
"2013M07","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.56",""
"2013M07","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","99.84",""
"2013M07","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","95.94",""
"2013M07","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","102.07",""
"2013M07","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","98.13",""
"2013M07","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","97.97",""
"2013M07","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","94.70",""
"2013M07","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.8",""
"2013M07","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","91.38",""
"2013M07","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.35",""
"2013M07","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.61",""
"2013M07","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.18",""
"2013M07","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.49",""
"2013M07","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","93.95",""
"2013M07","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","104.1",""
"2013M07","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.31",""
"2013M07","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","97.6",""
"2013M07","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.70",""
"2013M07","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","78.42","d"
"2013M08","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.10",""
"2013M08","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","96.87",""
"2013M08","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.5",""
"2013M08","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","109.2",""
"2013M08","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","94.2",""
"2013M08","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","93.48",""
"2013M08","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.5",""
"2013M08","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","98.75",""
"2013M08","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","96.30",""
"2013M08","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.19",""
"2013M08","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","94.71",""
"2013M08","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","97.6",""
"2013M08","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","93.70",""
"2013M08","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","100.10",""
"2013M08","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","101.91",""
"2013M08","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","97.86",""
"2013M08","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","101.78",""
"2013M08","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","97.95",""
"2013M08","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","98.57",""
"2013M08","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","96.29",""
"2013M08","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.0",""
"2013M08","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","91.97",""
"2013M08","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.51",""
"2013M08","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.29",""
"2013M08","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.78",""
"2013M08","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.42",""
"2013M08","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","93.92",""
"2013M08","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","105.1",""
"2013M08","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.14",""
"2013M08","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","97.6",""
"2013M08","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","102.60",""
"2013M08","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","78.83","d"
"2013M09","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.85",""
"2013M09","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","96.52",""
"2013M09","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","96.5",""
"2013M09","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","108.6",""
"2013M09","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","94.9",""
"2013M09","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","92.22",""
"2013M09","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.6",""
"2013M09","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","98.62",""
"2013M09","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","96.27",""
"2013M09","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.54",""
"2013M09","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","95.29",""
"2013M09","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","98.4",""
"2013M09","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","100.77",""
"2013M09","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.07",""
"2013M09","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","100.46",""
"2013M09","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","96.97",""
"2013M09","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","102.53",""
"2013M09","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","98.22",""
"2013M09","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","99.25",""
"2013M09","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","95.14",""
"2013M09","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.3",""
"2013M09","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","92.76",""
"2013M09","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.54",""
"2013M09","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","97.78",""
"2013M09","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.12",""
"2013M09","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.76",""
"2013M09","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","93.82",""
"2013M09","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","105.1",""
"2013M09","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.46",""
"2013M09","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","97.5",""
"2013M09","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","103.50",""
"2013M09","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","78.99","d"
"2013M10","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","92.70",""
"2013M10","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","97.52",""
"2013M10","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.9",""
"2013M10","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","106.2",""
"2013M10","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","95.8",""
"2013M10","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","92.33",""
"2013M10","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.5",""
"2013M10","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","98.97",""
"2013M10","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","97.11",""
"2013M10","France","Index, 2015=100","Harmonised index of consumer prices","Beer","101.37",""
"2013M10","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","95.94",""
"2013M10","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","98.4",""
"2013M10","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","96.64",""
"2013M10","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","96.52",""
"2013M10","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","99.89",""
"2013M10","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","96.92",""
"2013M10","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","102.81",""
"2013M10","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","98.36",""
"2013M10","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","99.03",""
"2013M10","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","95.27",""
"2013M10","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.4",""
"2013M10","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","93.87",""
"2013M10","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","98.52",""
"2013M10","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.72",""
"2013M10","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","101.60",""
"2013M10","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.85",""
"2013M10","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","94.06",""
"2013M10","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","104.1",""
"2013M10","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.42",""
"2013M10","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","97.3",""
"2013M10","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","102.10",""
"2013M10","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","79.03","d"
